Nome;Tipo;Nome UTM;Link;Filtros;Texto Legal;;;;;;;;;;;;;;;;;;;;;;;
Unhas_Categoria;Categoria;unhas;www.natura.com.br/c/unhas;;;;;;;;;;;;;;;;;;;;;;;;;
Maquiagem Veganos_Categoria;Categoria;maquiagemvegana;www.natura.com.br/c/maquiagem/veganos-em-maquiagem;;;;;;;;;;;;;;;;;;;;;;;;;
Lavar_Categoria;Categoria;lavar;www.natura.com.br/c/cabelos/lavar;;;;;;;;;;;;;;;;;;;;;;;;;
Tratar_Categoria;Categoria;tratar;www.natura.com.br/c/cabelos/tratar;;;;;;;;;;;;;;;;;;;;;;;;;
Finalizar_Categoria;Categoria;finalizar;www.natura.com.br/c/cabelos/finalizar;;;;;;;;;;;;;;;;;;;;;;;;;
Barbear_Categoria;Categoria;barbear;www.natura.com.br/c/barba/barbear;;;;;;;;;;;;;;;;;;;;;;;;;
Pos-Barbear_Categoria;Categoria;posbarbear;www.natura.com.br/c/barba/pos-barbear;;;;;;;;;;;;;;;;;;;;;;;;;
Barba Veganos_Categoria;Categoria;barbavegano;www.natura.com.br/c/barba/veganos-em-barba;;;;;;;;;;;;;;;;;;;;;;;;;
Cabelos-Infantil_Categoria;Categoria;cabelosinfantil;www.natura.com.br/c/infantil/cabelos;;;;;;;;;;;;;;;;;;;;;;;;;
Corpo-E-Banho_Categoria;Categoria;corpoebanhoinfantil;www.natura.com.br/c/infantil/corpo-e-banho;;;;;;;;;;;;;;;;;;;;;;;;;
Acessorios_Infantil;Categoria;acessoriosinfantil;www.natura.com.br/c/infantil/acessorios;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil Veganos_Categoria;Categoria;infantilveganos;www.natura.com.br/c/infantil/veganos-em-infantil;;;;;;;;;;;;;;;;;;;;;;;;;
Presentes_Categoria;Categoria;presentes;www.natura.com.br/c/tudo-em-presentes;;;;;;;;;;;;;;;;;;;;;;;;;
Compre E Ganhe_Promoção;Promoção;compreeganhe;www.natura.com.br/c/compre-e-ganhe;;;;;;;;;;;;;;;;;;;;;;;;;
Superconcentrado;Subcategoria;superconcentrado;www.natura.com.br/c/rosto/superconcentrado;;;;;;;;;;;;;;;;;;;;;;;;;
Antissinais_Subcategoria;Subcategoria;antissinais;www.natura.com.br/c/cuidados-diarios/rosto/antissinais;;;;;;;;;;;;;;;;;;;;;;;;;
Proteção Solar_Rosto;Subcategoria;protecaosolarrosto;www.natura.com.br/c/cuidados-diarios/rosto/protecao-solar;;;;;;;;;;;;;;;;;;;;;;;;;
Tratamento Intensivo_Subcategoria;Subcategoria;tratamentointensivo;www.natura.com.br/c/cuidados-diarios/rosto/tratamento-intensivo;;;;;;;;;;;;;;;;;;;;;;;;;
Desodorantes;Subcategoria;desodorantes;www.natura.com.br/c/corpo-e-banho/desodorante;;;;;;;;;;;;;;;;;;;;;;;;;
Hidratantes_Corporal;Subcategoria;hidratantecorporal;www.natura.com.br/c/cuidados-diarios/corpo/hidratantes;;;;;;;;;;;;;;;;;;;;;;;;;
Esfoliantes_Subcategoria;Subcategoria;esfoliantes;www.natura.com.br/c/cuidados-diarios/corpo/esfoliantes;;;;;;;;;;;;;;;;;;;;;;;;;
Lencos Umedecidos_Infantil;Subcategoria;lencosumedecidosinfantil;www.natura.com.br/c/cuidados-diarios/corpo/lencos-umedecidos;;;;;;;;;;;;;;;;;;;;;;;;;
Proteção Solar_Corpo;Subcategoria;protecaosolar;www.natura.com.br/c/cuidados-diarios/corpo/protecao-solar;;;;;;;;;;;;;;;;;;;;;;;;;
Creme Clareador_Subcategoria;Subcategoria;cremeclareador;www.natura.com.br/c/cuidados-diarios/corpo/creme-clareador;;;;;;;;;;;;;;;;;;;;;;;;;
Gel Antisseptico_Subcategoria;Subcategoria;gelantisseptico;www.natura.com.br/c/cuidados-diarios/corpo/gel-antisseptico;;;;;;;;;;;;;;;;;;;;;;;;;
